Nucleo,dis_bomberos_drive_08:30,dis_bomberos_drive_11:00,dis_bomberos_transit_08:30,dis_bomberos_transit_11:00,dis_csmental_drive_08:30,dis_csmental_drive_11:00,dis_csmental_transit_08:30,dis_csmental_transit_11:00,dis_hospt2_1_drive_08:30,dis_hospt2_1_drive_11:00,dis_hospt2_1_transit_08:30,dis_hospt2_1_transit_11:00,dis_hospt2_2_drive_08:30,dis_hospt2_2_drive_11:00,dis_hospt2_2_transit_08:30,dis_hospt2_2_transit_11:00,dis_hospt2_3_drive_08:30,dis_hospt2_3_drive_11:00,dis_hospt2_3_transit_08:30,dis_hospt2_3_transit_11:00,dis_hospt2_4_drive_08:30,dis_hospt2_4_drive_11:00,dis_hospt2_4_transit_08:30,dis_hospt2_4_transit_11:00,dis_hospt3_1_drive_08:30,dis_hospt3_1_drive_11:00,dis_hospt3_1_transit_08:30,dis_hospt3_1_transit_11:00,dis_hospt3_2_drive_08:30,dis_hospt3_2_drive_11:00,dis_hospt3_2_transit_08:30,dis_hospt3_2_transit_11:00,dis_hospt3_3_drive_08:30,dis_hospt3_3_drive_11:00,dis_hospt3_3_transit_08:30,dis_hospt3_3_transit_11:00,dis_juzgados_drive_08:30,dis_juzgados_drive_11:00,dis_juzgados_transit_08:30,dis_juzgados_transit_11:00,dur_bomberos_drive_08:30,dur_bomberos_drive_11:00,dur_bomberos_transit_08:30,dur_bomberos_transit_11:00,dur_csmental_drive_08:30,dur_csmental_drive_11:00,dur_csmental_transit_08:30,dur_csmental_transit_11:00,dur_hospt2_1_drive_08:30,dur_hospt2_1_drive_11:00,dur_hospt2_1_transit_08:30,dur_hospt2_1_transit_11:00,dur_hospt2_2_drive_08:30,dur_hospt2_2_drive_11:00,dur_hospt2_2_transit_08:30,dur_hospt2_2_transit_11:00,dur_hospt2_3_drive_08:30,dur_hospt2_3_drive_11:00,dur_hospt2_3_transit_08:30,dur_hospt2_3_transit_11:00,dur_hospt2_4_drive_08:30,dur_hospt2_4_drive_11:00,dur_hospt2_4_transit_08:30,dur_hospt2_4_transit_11:00,dur_hospt3_1_drive_08:30,dur_hospt3_1_drive_11:00,dur_hospt3_1_transit_08:30,dur_hospt3_1_transit_11:00,dur_hospt3_2_drive_08:30,dur_hospt3_2_drive_11:00,dur_hospt3_2_transit_08:30,dur_hospt3_2_transit_11:00,dur_hospt3_3_drive_08:30,dur_hospt3_3_drive_11:00,dur_hospt3_3_transit_08:30,dur_hospt3_3_transit_11:00,dur_juzgados_drive_08:30,dur_juzgados_drive_11:00,dur_juzgados_transit_08:30,dur_juzgados_transit_11:00,mean_dis_bomberos,mean_dis_csmental,mean_dis_hospt2,mean_dis_hospt3,mean_dis_juzgados,mean_dur_bomberos,mean_dur_csmental,mean_dur_hospt2,mean_dur_hospt3,mean_dur_juzgados,mean_dis_all,mean_dur_all
0610701,9086,9086,12881,12881,14371,14371,14722,17387,14417,14417,14768,17433,,,,,,,,,,,,,30825,30825,31228,31228,30743,30743,31385,31385,21943,21943,25841,25841,12547,12547,14357,14373,796,739,2872,3615,1169,1167,3517,4779,1192,1184,3555,4817,,,,,,,,,,,,,2073,1583,2811,4469,2045,1616,2966,4624,1370,1200,3446,7046,941,937,3246,3995,10983.5,15212.75,15258.75,28660.833333333332,13456.0,2005.5,2658.0,2687.0,2937.4166666666665,2279.75,16714.366666666665,2513.5333333333333
0612101,6406,6406,5218,5218,9070,9070,13241,13928,9115,9115,13287,13974,,,,,,,,,,,,,35868,35868,36452,38354,35785,35785,36256,38511,26985,26985,28210,34210,7245,7245,7526,7526,587,570,1460,1460,744,736,2742,3740,761,753,2780,3778,,,,,,,,,,,,,2219,1765,4350,3441,2190,1774,4593,3596,1534,1378,3383,4594,519,518,1932,2592,5812.0,11327.25,11372.75,34105.75,7385.5,1019.25,1990.5,2018.0,2901.4166666666665,1390.25,14000.65,1863.8833333333332
0612001,6827,6827,8367,13146,9491,9491,12119,16878,9536,9536,12165,16924,,,,,,,,,,,,,31686,31686,33415,33361,31603,31603,33572,33518,22804,22804,28583,29217,7666,7666,10675,16516,664,644,1793,2350,820,815,3043,3870,836,833,3081,3908,,,,,,,,,,,,,2139,1640,3315,3074,2109,1672,3470,3229,1428,1272,4439,4227,599,587,2565,3896,8791.75,11994.75,12040.25,30321.0,10630.75,1362.75,2137.0,2164.5,2667.8333333333335,1911.75,14755.7,2048.766666666667
0610901,6208,6208,6127,6127,8471,8471,10451,10433,8517,8517,10497,10479,,,,,,,,,,,,,38056,38056,40805,38530,37973,37973,40962,38687,29173,29173,35326,28032,6647,6647,14489,8402,712,746,1402,1402,1006,1030,2427,2817,1025,1042,2465,2855,,,,,,,,,,,,,2505,2032,4163,4624,2496,2107,4318,4779,1853,1714,5264,4533,795,814,3595,2790,6167.5,9456.5,9502.5,36062.166666666664,9046.25,1065.5,1820.0,1846.75,3365.6666666666665,1998.5,14046.983333333332,2019.2833333333333
0611701,2368,2368,2730,2730,6304,6304,7036,12014,6349,6349,7082,12060,,,,,,,,,,,,,37870,37870,40088,40121,37787,37787,40259,40292,28987,28987,34401,32090,4404,4404,5612,5612,369,339,883,883,865,840,1530,2395,881,854,1568,2433,,,,,,,,,,,,,2421,1958,3170,3230,2412,2017,3328,3388,1783,1610,4611,4676,624,600,1247,1247,2549.0,7914.5,7960.0,36378.25,5008.0,618.5,1407.5,1434.0,2883.6666666666665,929.5,11961.95,1454.6333333333332
0610601,3809,3809,3814,3814,6073,6073,8120,14146,6118,6118,8166,14192,,,,,,,,,,,,,41843,41843,39363,39405,41761,41761,39534,39576,32961,32961,35353,33145,4248,4248,6089,5741,534,588,1106,1115,842,875,2521,3077,864,897,2559,3115,,,,,,,,,,,,,2424,1955,4536,4245,2416,2003,4694,4403,1741,1613,5602,5066,611,656,2494,2540,3811.5,8603.0,8648.5,38292.166666666664,5081.5,835.75,1828.75,1858.75,3391.5,1575.25,12887.333333333332,1898.0
0610101,3104,3104,3150,3150,7040,7040,7455,12433,7085,7085,7501,12479,,,,,,,,,,,,,38606,38606,40507,40540,38523,38523,40678,40711,29723,29723,34820,36141,5140,5140,5425,6031,410,374,1997,2024,904,870,2648,3511,924,887,2686,3549,,,,,,,,,,,,,2444,1972,4363,4273,2431,2043,4521,4431,1811,1644,5729,6288,672,634,2621,2363,3127.0,8492.0,8537.5,37258.416666666664,5434.0,1201.25,1983.25,2011.5,3495.8333333333335,1572.5,12569.783333333333,2052.866666666667
1770401,29431,29431,42197,39955,7886,7886,8092,10414,30467,30467,63798,66440,,,,,,,,,,,,,23715,23715,23496,24417,23632,23632,23667,24220,9727,9727,15706,15925,10366,10366,12758,14064,1997,2003,5356,4931,756,767,1963,2650,1533,1553,5858,6172,,,,,,,,,,,,,1909,1380,2735,2711,1891,1417,2893,2902,810,728,2953,3355,662,659,3417,2693,35253.5,8569.5,47793.0,20131.583333333332,11888.5,3571.75,1534.0,3779.0,2140.3333333333335,1857.75,24727.216666666667,2576.5666666666666
1770101,27250,27250,45202,37351,9461,9461,11189,11189,32042,32042,66521,45727,,,,,,,,,,,,,25290,25290,26593,27237,25207,25207,26764,27040,11302,11302,17426,16985,11941,11941,15740,19098,1826,1846,5157,4448,798,833,1757,1757,1577,1624,6535,6284,,,,,,,,,,,,,1946,1435,2782,2734,1918,1473,2940,2925,854,800,2843,2639,705,720,2886,3165,34263.25,10325.0,44083.0,22136.916666666668,14680.0,3319.25,1286.25,4005.0,2107.4166666666665,1869.0,25097.633333333335,2517.383333333333
1310101,12282,12282,7081,7081,14057,14057,8577,8577,20470,20470,21914,16105,,,,,,,,,,,,,51055,51055,45734,45791,50972,50972,45891,45948,42173,42173,44083,41300,15401,15401,12463,12463,922,923,1119,1119,1227,1260,1239,1239,1442,1435,4594,3695,,,,,,,,,,,,,2802,2410,3840,3878,2795,2439,3995,4033,2143,2031,6703,5118,1199,1194,2104,1697,9681.5,11317.0,19739.75,46428.916666666664,13932.0,1020.75,1241.25,2791.5,3515.5833333333335,1548.5,20219.833333333332,2023.5166666666669
