X,Y,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,PART_JUD,COD,lng,lat,dis_bomberos_drive_08:30,dis_bomberos_drive_11:00,dis_bomberos_transit_08:30,dis_bomberos_transit_11:00,dis_csmental_drive_08:30,dis_csmental_drive_11:00,dis_csmental_transit_08:30,dis_csmental_transit_11:00,dis_hospt2_1_drive_08:30,dis_hospt2_1_drive_11:00,dis_hospt2_1_transit_08:30,dis_hospt2_1_transit_11:00,dis_hospt2_2_drive_08:30,dis_hospt2_2_drive_11:00,dis_hospt2_2_transit_08:30,dis_hospt2_2_transit_11:00,dis_hospt2_3_drive_08:30,dis_hospt2_3_drive_11:00,dis_hospt2_3_transit_08:30,dis_hospt2_3_transit_11:00,dis_hospt2_4_drive_08:30,dis_hospt2_4_drive_11:00,dis_hospt2_4_transit_08:30,dis_hospt2_4_transit_11:00,dis_hospt3_1_drive_08:30,dis_hospt3_1_drive_11:00,dis_hospt3_1_transit_08:30,dis_hospt3_1_transit_11:00,dis_hospt3_2_drive_08:30,dis_hospt3_2_drive_11:00,dis_hospt3_2_transit_08:30,dis_hospt3_2_transit_11:00,dis_hospt3_3_drive_08:30,dis_hospt3_3_drive_11:00,dis_hospt3_3_transit_08:30,dis_hospt3_3_transit_11:00,dis_juzgados_drive_08:30,dis_juzgados_drive_11:00,dis_juzgados_transit_08:30,dis_juzgados_transit_11:00,dur_bomberos_drive_08:30,dur_bomberos_drive_11:00,dur_bomberos_transit_08:30,dur_bomberos_transit_11:00,dur_csmental_drive_08:30,dur_csmental_drive_11:00,dur_csmental_transit_08:30,dur_csmental_transit_11:00,dur_hospt2_1_drive_08:30,dur_hospt2_1_drive_11:00,dur_hospt2_1_transit_08:30,dur_hospt2_1_transit_11:00,dur_hospt2_2_drive_08:30,dur_hospt2_2_drive_11:00,dur_hospt2_2_transit_08:30,dur_hospt2_2_transit_11:00,dur_hospt2_3_drive_08:30,dur_hospt2_3_drive_11:00,dur_hospt2_3_transit_08:30,dur_hospt2_3_transit_11:00,dur_hospt2_4_drive_08:30,dur_hospt2_4_drive_11:00,dur_hospt2_4_transit_08:30,dur_hospt2_4_transit_11:00,dur_hospt3_1_drive_08:30,dur_hospt3_1_drive_11:00,dur_hospt3_1_transit_08:30,dur_hospt3_1_transit_11:00,dur_hospt3_2_drive_08:30,dur_hospt3_2_drive_11:00,dur_hospt3_2_transit_08:30,dur_hospt3_2_transit_11:00,dur_hospt3_3_drive_08:30,dur_hospt3_3_drive_11:00,dur_hospt3_3_transit_08:30,dur_hospt3_3_transit_11:00,dur_juzgados_drive_08:30,dur_juzgados_drive_11:00,dur_juzgados_transit_08:30,dur_juzgados_transit_11:00,mean_dis_all,mean_dis_bomberos_all,mean_dis_bomberos_drive,mean_dis_bomberos_transit,mean_dis_csmental_all,mean_dis_csmental_drive,mean_dis_csmental_transit,mean_dis_drive,mean_dis_hospt2_all,mean_dis_hospt2_drive,mean_dis_hospt2_transit,mean_dis_hospt3_all,mean_dis_hospt3_drive,mean_dis_hospt3_transit,mean_dis_juzgados_all,mean_dis_juzgados_drive,mean_dis_juzgados_transit,mean_dis_transit,mean_dur_all,mean_dur_bomberos_all,mean_dur_bomberos_drive,mean_dur_bomberos_transit,mean_dur_csmental_all,mean_dur_csmental_drive,mean_dur_csmental_transit,mean_dur_drive,mean_dur_hospt2_all,mean_dur_hospt2_drive,mean_dur_hospt2_transit,mean_dur_hospt3_all,mean_dur_hospt3_drive,mean_dur_hospt3_transit,mean_dur_juzgados_all,mean_dur_juzgados_drive,mean_dur_juzgados_transit,mean_dur_transit,weigh_mean_dis_all,weigh_mean_dis_bomberos_all,weigh_mean_dis_bomberos_drive,weigh_mean_dis_bomberos_transit,weigh_mean_dis_csmental_all,weigh_mean_dis_csmental_drive,weigh_mean_dis_csmental_transit,weigh_mean_dis_drive,weigh_mean_dis_hospt2_all,weigh_mean_dis_hospt2_drive,weigh_mean_dis_hospt2_transit,weigh_mean_dis_hospt3_all,weigh_mean_dis_hospt3_drive,weigh_mean_dis_hospt3_transit,weigh_mean_dis_juzgados_all,weigh_mean_dis_juzgados_drive,weigh_mean_dis_juzgados_transit,weigh_mean_dis_transit,weigh_mean_dur_all,weigh_mean_dur_bomberos_all,weigh_mean_dur_bomberos_drive,weigh_mean_dur_bomberos_transit,weigh_mean_dur_csmental_all,weigh_mean_dur_csmental_drive,weigh_mean_dur_csmental_transit,weigh_mean_dur_drive,weigh_mean_dur_hospt2_all,weigh_mean_dur_hospt2_drive,weigh_mean_dur_hospt2_transit,weigh_mean_dur_hospt3_all,weigh_mean_dur_hospt3_drive,weigh_mean_dur_hospt3_transit,weigh_mean_dur_juzgados_all,weigh_mean_dur_juzgados_drive,weigh_mean_dur_juzgados_transit,weigh_mean_dur_transit
413909.889731528,4508792.82373607,"093","01","01","0930101",Navacerrada,Navacerrada,Navacerrada Núcleo,"3304","19","3",-4.019420298,40.7255669297,25091,25091,52940,33207,10839,10839,16680,22450,10884,10884,16726,22496,,,,,,,,,,,,,48241,48241,53313,55360,48158,48158,53484,55531,39358,39358,48964,50844,2901,2901,3325,3325,1553,1571,6624,4738,803,794,2261,3196,820,810,2299,3234,,,,,,,,,,,,,2789,2365,4170,4011,2748,2388,4328,4169,2143,2016,5812,5953,399,412,1835,1752,30699.6071428571,34082.25,25091,43073.5,15202,10839,19565,26496,15247.5,10884,19611,49084.1666666667,45252.3333333333,52916,3113,2901,3325,34903.2142857143,2714.03571428571,3621.5,1562,5681,1763.5,798.5,2728.5,1543.64285714286,1790.75,815,2766.5,3574.33333333333,2408.16666666667,4740.5,1099.5,405.5,1793.5,3884.42857142857,101431502,112607754,82900664,142314844,50227408,35812056,64642760,87542784,50377740,35960736,64794744,162174086.666667,149513709.333333,174834464,10285352,9584904,10985800,115320220,8967174,11965436,5160848,18770024,5826604,2638244,9014964,5100196,5916638,2692760,9140516,11809597.3333333,7956582.66666667,15662612,3632748,1339772,5925724,12834152
417944.919351249,4503688.03642968,"090","01","01","0900101",Moralzarzal,Moralzarzal,Moralzarzal Núcleo,"13710","19","3",-3.9709789131,40.6799980908,20401,20401,45981,28162,6124,6124,6683,9822,6170,6170,6729,9868,,,,,,,,,,,,,43452,43452,44169,44200,43369,43369,44340,44371,34570,34570,68450,65106,5997,5997,9519,7651,1338,1328,4469,4628,653,622,1669,1767,670,639,1707,1805,,,,,,,,,,,,,2715,2279,2602,2602,2695,2307,2760,2760,2027,1897,5468,5631,624,584,1257,1295,26972.0357142857,28736.25,20401,37071.5,7188.25,6124,8252.5,22869,7234.25,6170,8298.5,46118.1666666667,40463.6666666667,51772.6666666667,7291,5997,8585,31075.0714285714,2171.35714285714,2940.75,1333,4548.5,1177.75,637.5,1718,1455.57142857143,1205.25,654.5,1756,2978.58333333333,2320,3637.16666666667,940,604,1276,2887.14285714286,369786609.642857,393973987.5,279697710,508250265,98550907.5,83960040,113141775,313533990,99181567.5,84590700,113772435,632280065,554756870,709803260,99959610,82218870,117700350,426039229.285714,29769306.4285714,40317682.5,18275430,62359935,16146952.5,8740125,23553780,19955884.2857143,16523977.5,8973195,24074760,40836377.5,31807200,49865555,12887400,8280840,17493960,39582728.5714286
417227.682806148,4506543.48871564,"090","03","01","0900301","Arroyuelos, Los",Los Arroyuelos,Los Arroyuelos Núcleo,"43","19","3",-3.979841725,40.7056466097,20937,20937,47479,27746,10090,10090,11219,16989,10136,10136,11265,17035,,,,,,,,,,,,,47492,47492,47853,49899,47409,47409,48024,50070,38609,38609,43503,45383,7696,7696,9569,9569,1364,1351,6626,4704,925,901,1985,3162,945,916,2023,3200,,,,,,,,,,,,,2942,2460,4172,3977,2925,2498,4330,4135,2256,2124,5814,5919,819,791,2545,2545,28583.6071428571,29274.75,20937,37612.5,12097,10090,14104,26052.7142857143,12143,10136,14150,45979.3333333333,44503.3333333333,47455.3333333333,8632.5,7696,9569,31114.5,2798.35714285714,3511.25,1357.5,5665,1743.25,913,2573.5,1658.35714285714,1771,930.5,2611.5,3629.33333333333,2534.16666666667,4724.5,1675,805,2545,3938.35714285714,1229095.10714286,1258814.25,900291,1617337.5,520171,433870,606472,1120266.71428571,522149,435848,608450,1977111.33333333,1913643.33333333,2040579.33333333,371197.5,330928,411467,1337923.5,120329.357142857,150983.75,58372.5,243595,74959.75,39259,110660.5,71309.3571428571,76153,40011.5,112294.5,156061.333333333,108969.166666667,203153.5,72025,34615,109435,169349.357142857
419409.725334203,4506197.70714304,"090","07","01","0900701","Berrocal- El Retamar, El",El Berrocal- El Retamar,El Berrocal- El Retamar Núcleo,"737","19","3",-3.9539701619,40.7027483409,18236,18236,25389,25364,9794,9794,12321,11307,9840,9840,12367,11353,,,,,,,,,,,,,51738,47122,47390,47421,51655,47039,47561,47592,38239,38239,43116,65110,7788,7788,12156,15662,1141,1135,3274,2837,1033,1006,2624,2119,1055,1024,2662,2157,,,,,,,,,,,,,2858,2635,3342,3565,2868,2667,3500,3723,2391,2301,6071,6428,581,575,3784,4887,28194.8928571429,21806.25,18236,25376.5,10804,9794,11814,26096.2857142857,10850,9840,11860,47685.1666666667,45672,49698.3333333333,10848.5,7788,13909,30293.5,2651.53571428571,2096.75,1138,3055.5,1695.5,1019.5,2371.5,1662.14285714286,1724.5,1039.5,2409.5,3529.08333333333,2620,4438.16666666667,2456.75,578,4335.5,3640.92857142857,20779636.0357143,16071206.25,13439932,18702480.5,7962548,7218178,8706918,19232962.5714286,7996450,7252080,8740820,35143967.8333333,33660264,36627671.6666667,7995344.5,5739756,10250933,22326309.5,1954181.82142857,1545304.75,838706,2251903.5,1249583.5,751371.5,1747795.5,1224999.28571429,1270956.5,766111.5,1775801.5,2600934.41666667,1930940,3270928.83333333,1810624.75,425986,3195263.5,2683364.35714286
416838.470185077,4475705.36968542,"026","03","01","0260301","Valle de los Rosales, El",El Valle de los Rosales,El Valle de los Rosales Núcleo,"991","6","3",-3.9803863979,40.4278302658,20330,20330,39246,41337,22883,20442,26451,33070,42935,42935,77263,82403,,,,,,,,,,,,,32830,32830,37714,45499,32747,32747,37885,45656,14726,14726,22223,28580,15638,15638,15863,17958,1364,1376,4824,6860,1631,1558,4130,5212,2403,2295,6695,7646,,,,,,,,,,,,,2801,1980,4290,5452,2777,2001,4448,5607,1300,1123,2750,5666,948,932,4527,5508,32603.0357142857,30310.75,20330,40291.5,25711.5,21662.5,29760.5,25838.3571428571,61384,42935,79833,31513.5833333333,26767.6666666667,36259.5,16274.25,15638,16910.5,39367.7142857143,3503.71428571429,3606,1370,5842,3132.75,1594.5,4671,1749.21428571429,4759.75,2349,7170.5,3349.58333333333,1997,4702.16666666667,2978.75,940,5017.5,5258.21428571429,32309608.3928571,30037953.25,20147030,39928876.5,25480096.5,21467537.5,29492655.5,25605811.9285714,60831544,42548585,79114503,31229961.0833333,26526757.6666667,35933164.5,16127781.75,15497258,16758305.5,39013404.8571429,3472180.85714286,3573546,1357670,5789422,3104555.25,1580149.5,4628961,1733471.35714286,4716912.25,2327859,7105965.5,3319437.08333333,1979027,4659847.16666667,2951941.25,931540,4972342.5,5210890.35714286
415351.324678093,4472998.10455914,"026","01","01","0260101",Brunete,Brunete,Brunete Núcleo,"9783","6","3",-3.9975555273,40.4032938146,16072,16072,15427,17421,21545,21545,26020,31959,44038,44038,84336,87506,,,,,,,,,,,,,40422,40422,41687,47443,40339,40339,41844,47600,15829,15829,16985,16985,11379,11379,12953,10959,1058,1097,3281,3319,1675,1548,3227,3455,2389,2270,5626,7404,,,,,,,,,,,,,2629,1977,3700,3717,2605,2028,3855,3872,1283,1114,1994,1808,645,652,2436,2212,31370.4642857143,16248,16072,16424,25267.25,21545,28989.5,27089.1428571429,64979.5,44038,85921,33810.3333333333,32196.6666666667,35424,11667.5,11379,11956,35651.7857142857,2602.71428571429,2188.75,1077.5,3300,2476.25,1611.5,3341,1640.71428571429,4422.25,2329.5,6515,2548.5,1939.33333333333,3157.66666666667,1486.25,648.5,2324,3564.71428571429,306897252.107143,158954184,157232376,160675992,247189506.75,210774735,283604278.5,265013084.571429,635694448.5,430823754,840565143,330766491,314979990,346552992,114143152.5,111320757,116965548,348781419.642857,25462353.8571429,21412541.25,10541182.5,32283900,24225153.75,15765304.5,32685003,16051107.8571429,43262871.75,22789498.5,63736245,24931975.5,18972498,30891453,14539983.75,6344275.5,22735692,34873599.8571429
414642.439147666,4474911.77632013,"026","02","01","0260201","Dehesa, La",La Dehesa,La Dehesa Núcleo,"84","6","3",-4.0061650114,40.420459357,18218,18218,36554,19651,22979,22979,32378,31668,46064,46064,84366,84645,,,,,,,,,,,,,38006,38006,45251,44874,37923,37923,45408,45031,20939,20939,27850,18131,13525,13525,13240,15183,1211,1213,4598,4659,1583,1482,4433,4205,2540,2395,6397,7475,,,,,,,,,,,,,2743,2031,4483,4481,2751,2061,4638,4636,1322,1230,3802,3028,790,775,4301,3691,33554.9285714286,23160.25,18218,28102.5,27501,22979,32023,28236.2857142857,65284.75,46064,84505.5,35023.4166666667,32289.3333333333,37757.5,13868.25,13525,14211.5,38873.5714285714,3176.92857142857,2920.25,1212,4628.5,2925.75,1532.5,4319,1723.35714285714,4701.75,2467.5,6936,3100.5,2023,4178,2389.25,782.5,3996,4630.5,2818614,1945461,1530312,2360610,2310084,1930236,2689932,2371848,5483919,3869376,7098462,2941967,2712304,3171630,1164933,1136100,1193766,3265380,266862,245301,101808,388794,245763,128730,362796,144762,394947,207270,582624,260442,169932,350952,200697,65730,335664,388962
410547.061900889,4475790.23560621,"119","02","02","1190202",Quijorna,Quijorna,Quijorna Núcleo,"3927","6","3",-4.054555885,40.4279420168,25472,25472,29939,29939,25237,25237,28008,25537,50863,50863,82178,80717,,,,,,,,,,,,,40264,40264,41203,41214,40181,40181,41360,41371,23197,23197,27336,27336,20779,20779,25471,25471,1615,1649,8112,8112,1679,1614,6855,6656,2547,2543,11021,9434,,,,,,,,,,,,,2842,2134,7218,7218,2814,2180,7373,7373,1423,1353,7018,7194,1201,1214,7345,7345,35680.9285714286,27705.5,25472,29939,26004.75,25237,26772.5,32284.7142857143,66155.25,50863,81447.5,35592,34547.3333333333,36636.6666666667,23125,20779,25471,39077.1428571429,4824.35714285714,4872,1632,8112,4201,1646.5,6755.5,1914.85714285714,6386.25,2545,10227.5,4678.33333333333,2124.33333333333,7232.33333333333,4276.25,1207.5,7345,7733.85714285714,140119006.5,108799498.5,100028544,117570453,102120653.25,99105699,105135607.5,126782073,259791666.75,199739001,319844332.5,139769784,135667378,143872190,90811875,81599133,100024617,153455940,18945250.5,19132344,6408864,31855824,16497327,6465805.5,26528848.5,7519644,25078803.75,9994215,40163392.5,18371815,8342257,28401373,16792833.75,4741852.5,28843815,30370857
408658.72905631,4483505.98765124,"160","12","03","1601203","Charquillas, Las",Las Charquillas,Las Charquillas Núcleo,"47","7","3",-4.07792412,40.4972363487,15514,15514,19032,19032,14304,14304,20589,20589,25262,25262,82071,28176,,,,,,,,,,,,,40674,40674,38588,38942,40591,40591,38745,38745,23608,23608,29858,29858,11473,11473,13872,13872,1186,1198,3084,3084,1226,1282,3239,3239,2321,2234,6298,5845,,,,,,,,,,,,,2787,2179,3014,3031,2847,2245,3169,3193,1570,1475,3507,3471,807,790,2526,2526,27672.1785714286,17273,15514,19032,17446.5,14304,20589,24489.4285714286,40192.75,25262,55123.5,35373.5,34957.6666666667,35789.3333333333,12672.5,11473,13872,30854.9285714286,2620.46428571429,2138,1192,3084,2246.5,1254,3239,1724.78571428571,4174.5,2277.5,6071.5,2707.33333333333,2183.83333333333,3230.83333333333,1662.25,798.5,2526,3516.14285714286,1300592.39285714,811831,729158,894504,819985.5,672288,967683,1151003.14285714,1889059.25,1187314,2590804.5,1662554.5,1643010.33333333,1682098.66666667,595607.5,539231,651984,1450181.64285714,123161.821428571,100486,56024,144948,105585.5,58938,152233,81064.9285714286,196201.5,107042.5,285360.5,127244.666666667,102640.166666667,151849.166666667,78125.75,37529.5,118722,165258.714285714
409966.386170815,4483821.03411738,"160","12","02","1601202",Valdemorillo,Valdemorillo,Valdemorillo Núcleo,"5950","7","3",-4.0625396874,40.5002170145,17539,17539,18771,18771,16342,16342,20359,20359,23797,23797,26674,26530,,,,,,,,,,,,,38590,38590,37962,39056,38507,38507,38133,38859,21524,21524,29757,29972,13511,13511,13642,13642,1270,1268,2259,2259,1305,1364,2452,2452,2220,2159,4791,5091,,,,,,,,,,,,,2729,2032,3594,3007,2814,2097,3752,3169,1396,1264,4346,3447,888,872,1739,1739,25432.3928571429,18155,17539,18771,18350.5,16342,20359,24258.5714285714,25199.5,23797,26602,34248.4166666667,32873.6666666667,35623.1666666667,13576.5,13511,13642,26606.2142857143,2420.53571428571,1764,1269,2259,1893.25,1334.5,2452,1691.28571428571,3565.25,2189.5,4941,2803.91666666667,2055.33333333333,3552.5,1309.5,880,1739,3149.78571428571,151322737.5,108022250,104357050,111687450,109185475,97234900,121136050,144338500,149937025,141592150,158281900,203778079.166667,195598316.666667,211957841.666667,80780175,80390450,81169900,158306975,14402187.5,10495800,7550550,13441050,11264837.5,7940275,14589400,10063150,21213237.5,13027525,29398950,16683304.1666667,12229233.3333333,21137375,7791525,5236000,10347050,18741225
412424.693471554,4482410.50311952,"160","03","01","1600301",Navarredonda,Navarredonda,Navarredonda Núcleo,"2518","7","3",-4.0333373522,40.4877746501,18925,18925,22053,22032,22888,22888,29691,29691,25183,25183,76456,28940,,,,,,,,,,,,,37914,37914,42863,43217,37832,37832,43020,43020,20848,20848,34133,34133,14898,14898,16924,16903,1263,1315,3272,3636,1538,1462,3667,3667,2267,2238,5420,6318,,,,,,,,,,,,,2704,2007,3862,3915,2679,2027,4017,4077,1276,1197,4355,4355,884,909,2752,3116,30001.8571428571,20483.75,18925,22042.5,26289.5,22888,29691,25498.2857142857,38940.5,25183,52698,36131.1666666667,32198,40064.3333333333,15905.75,14898,16913.5,34505.4285714286,2864.10714285714,2371.5,1289,3454,2583.5,1500,3667,1697.57142857143,4060.75,2252.5,5869,3039.25,1981.66666666667,4096.83333333333,1915.25,896.5,2934,4030.64285714286,75544676.2857143,51578082.5,47653150,55503015,66196961,57631984,74761938,64204683.4285714,98052179,63410794,132693564,90978277.6666667,81074564,100881991.333333,40050678.5,37513164,42588193,86884669.1428571,7211821.78571429,5971437,3245702,8697172,6505253,3777000,9233506,4274484.85714286,10224968.5,5671795,14778142,7652831.5,4989836.66666667,10315826.3333333,4822599.5,2257387,7387812,10149158.7142857
407752.043745687,4480024.38061059,"160","02","01","1600201",Cerro Alarcón,Cerro Alarcón,Cerro Alarcón Núcleo,"2974","7","3",-4.08811561,40.4657757577,19344,19344,27793,66853,18133,18133,29350,66018,28703,28703,90651,87744,,,,,,,,,,,,,43496,43496,51102,48195,43413,43413,51273,48366,26429,26429,43332,39663,15303,15303,22633,62251,1408,1468,4814,6584,1452,1562,4969,5989,2587,2576,6396,6096,,,,,,,,,,,,,2998,2366,3991,3991,3076,2470,4149,4149,1738,1625,4763,4433,1037,1038,4256,5603,40173.7857142857,33333.5,19344,47323,32908.5,18133,47684,27831.5714285714,58950.25,28703,89197.5,42383.9166666667,37779.3333333333,46988.5,28872.5,15303,42442,52516,3485.14285714286,3568.5,1438,5699,3493,1507,5479,1957.21428571429,4413.75,2581.5,6246,3312.41666666667,2378.83333333333,4246,2983.5,1037.5,4929.5,5013.07142857143,119476838.714286,99133829,57529056,140738602,97869879,53927542,141812216,82771093.4285714,175318043.5,85362722,265273365,126049768.166667,112355737.333333,139743799,85866815,45511122,126222508,156182584,10364814.8571429,10612719,4276612,16948826,10388182,4481818,16294546,5820755.28571429,13126492.5,7677381,18575604,9851127.16666667,7074650.33333333,12627604,8872929,3085525,14660333,14908874.4285714
406609.971671642,4487712.78945239,"160","05","01","1600501",Dehesa,Dehesa,Dehesa Núcleo,"1212","7","3",-4.1027181293,40.5349003653,9969,9969,13393,13110,8759,8759,14667,14667,30241,30241,31688,31034,,,,,,,,,,,,,44726,44726,50378,50095,44643,44643,50535,50252,27660,27660,42727,41507,5928,5928,8233,7950,807,831,3567,2373,854,918,2528,2528,2040,2077,5822,6383,,,,,,,,,,,,,3007,2301,6726,6659,2978,2345,6881,6814,1623,1517,6774,7092,425,427,2691,1815,27288.8571428571,11610.25,9969,13251.5,11713,8759,14667,24560.8571428571,30801,30241,31361,43296,39009.6666666667,47582.3333333333,7009.75,5928,8091.5,30016.8571428571,3242.96428571429,1894.5,819,2970,1707,886,2528,1582.14285714286,4080.5,2058.5,6102.5,4559.75,2295.16666666667,6824.33333333333,1339.5,426,2253,4903.78571428571,33074094.8571429,14071623,12082428,16060818,14196156,10615908,17776404,29767758.8571429,37330812,36652092,38009532,52474752,47279716,57669788,8495817,7184736,9806898,36380430.8571429,3930472.71428571,2296134,992628,3599640,2068884,1073832,3063936,1917557.14285714,4945566,2494902,7396230,5526417,2781742,8271092,1623474,516312,2730636,5943388.28571429
410058.052496526,4486545.41977267,"160","06","01","1600601","Paraíso, El",El Paraíso,El Paraíso Núcleo,"475","7","3",-4.061845119,40.5247667297,17414,17414,23153,27506,16217,16217,24741,26131,22050,22050,83912,25415,,,,,,,,,,,,,40988,40988,44363,45255,40905,40905,44534,45426,23921,23921,36593,37060,13386,13386,18023,22364,1261,1310,5625,5392,1309,1413,5818,4739,2141,2134,7245,6046,,,,,,,,,,,,,2954,2214,4840,7952,2933,2253,4998,8110,1534,1428,5612,8047,882,901,5105,4353,30508.5,21371.75,17414,25329.5,20826.5,16217,25436,24983,38356.75,22050,54663.5,38738.25,35271.3333333333,42205.1666666667,16789.75,13386,20193.5,36034,3876.75,3397,1285.5,5508.5,3319.75,1361,5278.5,1761.92857142857,4391.5,2137.5,6645.5,4406.25,2219.33333333333,6593.16666666667,2810.25,891.5,4729,5991.57142857143,14491537.5,10151581.25,8271650,12031512.5,9892587.5,7703075,12082100,11866925,18219456.25,10473750,25965162.5,18400668.75,16753883.3333333,20047454.1666667,7975131.25,6358350,9591912.5,17116150,1841456.25,1613575,610612.5,2616537.5,1576881.25,646475,2507287.5,836916.071428571,2085962.5,1015312.5,3156612.5,2092968.75,1054183.33333333,3131754.16666667,1334868.75,423462.5,2246275,2845996.42857143
406872.017387663,4489415.59737976,"160","15","01","1601501",Montemorillo,Montemorillo,Montemorillo Núcleo,"73","7","3",-4.0998753944,40.5502675397,10350,10350,13756,13473,9153,9153,15061,15061,30635,30635,32082,31428,,,,,,,,,,,,,45951,45951,50772,50489,45868,45868,50929,50646,28884,28884,43121,41901,6322,6322,8627,8344,866,889,3803,2614,910,974,2807,2807,2104,2134,6096,6662,,,,,,,,,,,,,3073,2409,7000,6938,3061,2419,7155,7093,1719,1623,7048,7371,486,485,2965,2094,27857.7142857143,11982.25,10350,13614.5,12107,9153,15061,25309,31195,30635,31755,44105.3333333333,40234.3333333333,47976.3333333333,7403.75,6322,8485.5,30406.4285714286,3414.46428571429,2043,877.5,3208.5,1874.5,942,2807,1653.71428571429,4249,2119,6379,4742.41666666667,2384,7100.83333333333,1507.5,485.5,2529.5,5175.21428571429,2033613.14285714,874704.25,755550,993858.5,883811,668169,1099453,1847557,2277235,2236355,2318115,3219689.33333333,2937106.33333333,3502272.33333333,540473.75,461506,619441.5,2219669.28571429,249255.892857143,149139,64057.5,234220.5,136838.5,68766,204911,120721.142857143,310177,154687,465667,346196.416666667,174032,518360.833333333,110047.5,35441.5,184653.5,377790.642857143
407358.742716836,4487390.79109006,"160","09","01","1600901","Pizarrera, La",La Pizarrera,La Pizarrera Núcleo,"229","7","3",-4.0766616534,40.5467885145,12654,12654,16863,16863,11457,11457,18420,18420,32940,32940,85411,85411,,,,,,,,,,,,,48255,48255,45862,45862,48172,48172,46033,46033,31189,31189,38092,38092,8626,8626,11703,11703,1031,1054,4058,4058,1064,1141,4213,4213,2291,2316,9718,9718,,,,,,,,,,,,,3233,2589,6713,6713,3204,2609,6871,6871,1873,1778,7001,7001,660,654,3500,3500,32548.3571428571,14758.5,12654,16863,14938.5,11457,18420,27613.2857142857,59175.5,32940,85411,42933.8333333333,42538.6666666667,43329,10164.5,8626,11703,37483.4285714286,3915.89285714286,2550.25,1042.5,4058,2657.75,1102.5,4213,1821.21428571429,6010.75,2303.5,9718,4704.66666666667,2547.66666666667,6861.66666666667,2078.5,657,3500,6010.57142857143,7453573.78571429,3379696.5,2897766,3861627,3420916.5,2623653,4218180,6323442.42857143,13551189.5,7543260,19559119,9831847.83333333,9741354.66666667,9922341,2327670.5,1975354,2679987,8583705.14285714,896739.464285714,584007.25,238732.5,929282,608624.75,252472.5,964777,417058.071428571,1376461.75,527501.5,2225422,1077368.66666667,583415.666666667,1571321.66666667,475976.5,150453,801500,1376420.85714286
411452.23804968,4485100.65595265,"160","08","01","1600801",Pino Alto,Pino Alto,Pino Alto Núcleo,"521","7","3",-4.0451859925,40.511903104,16786,16786,20805,20805,15588,15588,22393,22393,22080,22080,26712,26568,,,,,,,,,,,,,39377,39377,39123,39105,39294,39294,39294,39276,22311,22311,30918,30918,12758,12758,15675,15675,1198,1246,3625,3625,1241,1338,3818,3818,2148,2117,5460,5760,,,,,,,,,,,,,2801,2079,4845,4845,2774,2124,5003,5003,1398,1298,5597,5000,820,833,3105,3105,25930.2857142857,18795.5,16786,20805,18990.5,15588,22393,24027.7142857143,24360,22080,26640,35049.8333333333,33660.6666666667,36439,14216.5,12758,15675,27832.8571428571,3072.28571428571,2423.5,1222,3625,2553.75,1289.5,3818,1672.5,3871.25,2132.5,5610,3563.91666666667,2079,5048.83333333333,1965.75,826.5,3105,4472.07142857143,13509678.8571429,9792455.5,8745506,10839405,9894050.5,8121348,11666753,12518439.1428571,12691560,11503680,13879440,18260963.1666667,17537207.3333333,18984719,7406796.5,6646918,8166675,14500918.5714286,1600660.85714286,1262643.5,636662,1888625,1330503.75,671829.5,1989178,871372.5,2016921.25,1111032.5,2922810,1856800.58333333,1083159,2630442.16666667,1024155.75,430606.5,1617705,2329949.21428571
413544.523721857,4499584.44424973,"010","18","01","0101801","Negrales - Los Llanos, Los",Los Negrales - Los Llanos,Los Negrales - Los Llanos Núcleo,"3355","15","3",-4.0224776245,40.6425860546,2787,2787,4084,4084,3422,3422,6458,5687,3468,3468,6504,5733,,,,,,,,,,,,,38651,38651,39168,39206,38568,38568,39339,39377,29768,29768,35315,34945,2879,4020,4543,3856,386,418,1095,1095,423,428,1347,1280,438,441,1385,1318,,,,,,,,,,,,,2362,1911,3249,3255,2326,1955,3407,3413,1667,1547,5093,4661,388,432,1235,1407,18161.6428571429,3435.5,2787,4084,4747.25,3422,6072.5,17159.0714285714,4793.25,3468,6118.5,36777,35662.3333333333,37891.6666666667,3824.5,3449.5,4199.5,19164.2142857143,1727.21428571429,748.5,402,1095,869.5,425.5,1313.5,1080.14285714286,895.5,439.5,1351.5,2903.83333333333,1961.33333333333,3846.33333333333,865.5,410,1321,2374.28571428571,60932311.7857143,11526102.5,9350385,13701820,15927023.75,11480810,20373237.5,57568684.6428571,16081353.75,11635140,20527567.5,123386835,119647128.333333,127126541.666667,12831197.5,11573072.5,14089322.5,64295938.9285714,5794803.92857143,2511217.5,1348710,3673725,2917172.5,1427552.5,4406792.5,3623879.28571429,3004402.5,1474522.5,4534282.5,9742360.83333333,6580273.33333333,12904448.3333333,2903752.5,1375550,4431955,7965728.57142857
