fid,CMUN,CODIGO,ETIQUETA,DESCR,PART_JUD,POB,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
30,"087","0875",Los Molinos,Los Molinos,15,4812,16861,15463,16861,16579,20136,16579,51681,54085,51681,22029,35099,22029,16533,20090,16533,32435,36149,32435,1496,1720,1496,2020,2829,2020,3704,4763,3704,2658,4534,2658,1994,2791,1994,2754,3737,2754
31,"021","0210",El Berrueco,El Berrueco,1,791,10657,8427,10657,45579,45585,45579,58981,57161,58981,8553,8543,8553,55221,64568,55221,39662,40241,39662,1698,2460,1698,3492,4942,3492,4550,6398,4550,919,1239,919,4384,6562,4384,3266,4666,3266
32,"038","0382",Cercedilla,Cercedilla,15,7611,20091,18639,20091,18803,20032,18803,52606,52528,52606,23703,38901,23703,18757,19986,18757,34168,36449,34168,2075,2625,2075,2363,3316,2363,4225,5529,4225,3272,5726,3272,2336,3278,2336,3246,4504,3246
33,"055","0552",Estremera,Estremera,14,1380,44836,45944,44836,70346,73135,70346,73779,75639,73779,50876,51339,50876,45677,46880,45677,57103,58587,57103,3702,5543,3702,5920,8883,5920,5774,8591,5774,4128,6288,4128,3811,5582,3811,4667,6977,4667
34,"152","1527",Torrelodones,Torrelodones,15,25205,11665,11672,11665,16660,18227,16660,25047,25739,25047,10367,11214,10367,15975,17530,15975,18544,19408,18544,1602,2358,1602,2355,3701,2355,2206,2904,2206,1457,2279,1457,2128,3289,2128,2023,2906,2023
35,"127","1277",Las Rozas de Madrid,Las Rozas De Madrid,12,99138,6006,6614,6006,29407,35757,29407,18877,19536,18877,6508,7282,6508,8364,9197,8364,15274,16780,15274,1222,1822,1222,3326,5275,3326,2296,3189,2296,1462,2385,1462,1490,2285,1490,2055,3048,2055
36,"047","0474",Collado Villalba,Collado Villalba,15,67323,1649,1669,1649,4928,5987,4928,36200,37397,36200,2191,2426,2191,4882,5941,4882,17465,18316,17465,556,829,556,985,1387,985,2634,3325,2634,592,856,592,957,1349,957,1570,2056,1570
37,"003","0035",Alameda del Valle,Alameda Del Valle,1,253,68968,88831,68968,83153,94989,83153,90414,94284,90414,30714,38075,30714,95857,120097,95857,76587,88427,76587,6747,11178,6747,6009,8916,6009,6241,8711,6241,2137,3005,2137,7215,11144,7215,5765,8611,5765
38,"076","0761",Lozoya,Lozoya,1,600,63074,81728,63074,77258,87886,77258,84520,87181,84520,24820,30972,24820,89963,112994,89963,70692,81324,70692,6806,11475,6806,6076,9213,6076,6306,9008,6306,2196,3302,2196,7274,11441,7274,5827,8908,5827
39,"135","1356",Santa María de la Alameda,Santa Mar??a De La Alameda,7,1478,22929,25433,22929,44422,48148,44422,62420,67794,62420,19881,23997,19881,19416,24192,19416,41987,46450,41987,3003,4472,3003,4380,5968,4380,5260,7096,5260,2281,3482,2281,2601,4022,2601,4006,5605,4006
40,"016","0164",El Atazar,El Atazar,1,104,23753,23746,23753,62362,60480,62362,75992,72511,75992,38751,50573,38751,76778,89010,76778,58938,61472,58938,2426,3128,2426,5287,7222,5287,6412,8803,6412,5747,9500,5747,7275,10983,7275,5593,8073,5593
41,"102","1028",Orusco de Tajuña,Orusco De Taju??a,14,1426,25374,27861,25374,55071,56888,55071,53647,57413,53647,30932,33492,30932,25983,28210,25983,38201,40773,38201,3074,4600,3074,5419,8005,5419,5256,7927,5256,3527,5268,3527,3101,4477,3101,4075,6055,4075
42,"133","1338",San Martín de Valdeiglesias,San Mart??n De Valdeiglesias,3,8977,67002,80727,67002,59754,60530,59754,,,,3460,3573,3460,63602,73911,63602,53297,57190,53297,5053,7292,5053,4508,5962,4508,,,,1066,1735,1066,4998,7147,4998,4164,5717,4164
43,"014","0148",Arganda del Rey,Arganda Del Rey,14,58976,4352,4806,4352,23819,25146,23819,27823,28184,27823,3882,4767,3882,2547,2475,2547,12484,13076,12484,903,1355,903,2885,4382,2885,2701,3955,2701,798,1312,798,590,788,590,1575,2359,1575
44,"018","0186",Becerril de la Sierra,Becerril De La Sierra,19,6546,29933,38177,29933,10928,12500,10928,45466,47095,45466,7754,8642,7754,10882,12454,10882,27985,30437,27985,3448,5506,3448,1682,2522,1682,3558,4675,3558,1528,2410,1528,1654,2484,1654,2712,3850,2712
45,"019","0199",Belmonte de Tajo,Belmonte De Tajo,8,1905,40415,52041,40415,56546,60382,56546,61480,65891,61480,40711,45858,40711,30215,30806,30215,45873,50995,45873,3222,4522,3222,4299,6115,4299,4231,5986,4231,2941,4385,2941,2246,2934,2246,3388,4788,3388
46,"073","0730",Humanes de Madrid,Humanes De Madrid,18,19915,6145,6521,6145,14532,18495,14532,,,,8212,9261,8212,5628,5530,5628,11159,13613,11159,1162,1625,1162,2066,3327,2066,,,,1516,2604,1516,939,1233,939,1697,2681,1697
47,"074","0745",Leganés,Legan??s,9,193817,2409,2892,2409,3347,3856,3347,,,,3261,3062,3261,751,849,751,2623,2903,2623,558,815,558,850,1309,850,,,,531,661,531,228,366,228,604,892,604
48,"041","0416",Cobeña,Cobe??a,2,7723,18713,16010,18713,14028,12747,14028,27790,27821,27790,15772,16459,15772,15766,15572,15766,19976,19405,19976,2420,3444,2420,1225,1465,1225,2140,2700,2140,1926,2895,1926,1531,1991,1531,1897,2533,1897
49,"043","0437",Colmenar de Oreja,Colmenar De Oreja,8,8852,25674,31092,25674,65162,73570,65162,,,,26899,32377,26899,30255,34133,30255,42630,48948,42630,2345,3260,2345,5340,7968,5340,,,,2719,3836,2719,2386,3360,2386,3626,5278,3626
50,"035","0357",Carabaña,Caraba??a,14,2300,24466,23903,24466,50881,52917,50881,53324,53442,53324,30611,29521,30611,25000,24239,25000,36856,36804,36856,2682,3947,2682,4932,7341,4932,4886,7263,4886,3064,4604,3064,2705,3813,2705,3654,5394,3654
51,"012","0127",Anchuelo,Anchuelo,4,1369,21600,30964,21600,26137,33148,26137,,,,24319,32705,24319,25538,33603,25538,24746,32713,24746,2025,3115,2025,2672,4115,2672,,,,2518,3988,2518,2593,3997,2593,2496,3866,2496
52,"062","0626",Garganta de los Montes,Garganta De Los Montes,1,365,51113,65603,51113,65297,71762,65297,72558,71057,72558,12859,14848,12859,77467,96870,77467,58642,65199,58642,5859,9918,5859,5122,7656,5122,5357,7451,5357,1274,1802,1274,6333,9884,6333,4883,7360,4883
