CDTNUCLEO;DESCR;POBL
804201;ENTREÁLAMOS;179
804501;COLEGIO VIRGEN DE LOURDES;N.E.
804701;MONTECLARO;N.E.
820101;MANZANARES EL REAL;8934
820201;PONDEROSA DE LA SIERRA (LA);576
830101;ESTACIÓN Y LA VENTA (LA);0
830201;MECO;15806
840101;MEJORADA DEL CAMPO;21438
840201;URBANIZACIÓN LAS ACACIAS;188
840501;RAYA DE VELILLA (LA);88
840601;VALDECELADA;0
850101;ENDRINALES (LOS);158
850201;MIRAFLORES DE LA SIERRA;6625
850301;PINAREJOS (LOS);333
850401;HUELGAS (LAS);2
860101;MOLAR (EL);9435
870102;MOLINOS (LOS);4812
880101;MONTEJO DE LA SIERRA;374
890101;COLINAS (LAS);313
890201;MORALEJA DE ENMEDIO;5175
900101;MORALZARZAL;13710
900202;BERROCAL NOROESTE (EL);N.E.
900203;BERROCAL SUR (EL);N.E.
900204;LINAR DEL RÍO;N.E.
900301;ARROYUELOS (LOS);43
900501;PRADERAS (LAS);7
900601;RETAMAR (EL);N.E.
900701;BERROCAL (EL)-RETAMAR (EL);737
910101;MORATA DE TAJUÑA;7650
920101;MÓSTOLES;200051
920201;PARQUE COIMBRA;10812
920301;PINARES LLANOS;208
920401;PARQUE GUADARRAMA;1495
920701;NIEVES-EL LUCERO (LAS);622
930101;NAVACERRADA;3304
930301;BARRANCA (LA);0
940101;NAVALAFUENTE;1576
940201;ARRETURAS (LAS);10
940501;PISCIS;0
940601;SOCOCAR;16
940701;VIÑAS I (LAS);42
940702;VIÑAS II (LAS);10
950102;NAVALAGAMELLA;2784
950103;PLANTÍO (EL);0
950201;BARRANCOS (LOS);6
950301;CERRO ALARCÓN;172
960101;CALYPO II;272
960301;NAVALCARNERO;31902
960401;AGUAS DE RIAZA;0
960501;MANZANOS (LOS);N.E.
961001;FUENTE PILA;0
961101;MANCIGORDO;0
970101;NAVARREDONDA;59
970201;SAN MAMÉS;75
970301;PATUELO (EL);0
970401;PRADO GAMONAL;0
970501;SOLANILLA (LA);0
990101;MORRO (EL);322
990201;NAVAS DEL REY;2819
990301;SAN JUAN;84
990401;ROCHA (LA);55
990501;SANTA ANA;48
1000201;MIRADOR DE BAZTÁN (EL);187
1000301;MONTE ACEVEDO;436
1000401;NUEVO BAZTÁN;306
1000601;EUROVILLAS-LAS VILLAS;6464
1010101;OLMEDA DE LAS FUENTES;404
1020101;ORUSCO;1426
1040101;BELVIS DE JARAMA;333
1040201;PARACUELLOS DE JARAMA;23492
1040301;AVALÓN (EL);18
1040401;BERROCALES DEL JARAMA (LOS);866
1040501;GRANJA / EL CRUCE (LA);2248
1040601;I.N.T.A.;148
1060102;PARLA;134851
1070201;POBLADO DEL ATAZAR;0
1070301;PATONES DE ABAJO;558
1070401;PATONES DE ARRIBA;46
1080101;ATALAYA REAL;195
1080201;MONTENEBRO;887
1080301;PEDREZUELA;5277
1090101;PELAYOS DE LA PRESA;3106
1090201;CUMBRES (LAS);N.E.
1100101;PERALES DE TAJUÑA;2806
1100301;PRADO DE ARRIBA;53
1100401;URBANIZACIÓN VALDEPERALES;208
1110101;PEZUELA DE LAS TORRES;743
1110201;CAMINOS (LOS);215
1120101;PINILLA DEL VALLE;199
1130102;PINTO;55918
1130201;ARENAS (LAS);7
1140101;GANDULLAS;62
1140201;PIÑUÉCAR;89
1150101;ÁNGELES (LOS);1728
1150401;POZUELO DE ALARCÓN;59169
1152001;ARROYO MEAQUES;5167
1152301;HÚMERA-SOMOSAGUAS;16845
1152401;MONTECLARO-LA CABAÑA;5999
1160101;POZUELO DEL REY;1298
1170101;PRÁDENA DEL RINCÓN;137
1180101;PUEBLA DE LA SIERRA;91
1190101;PERALES DE MILLA;0
1190202;QUIJORNA;3927
1200101;OTERUELO DEL VALLE;111
1200201;COTOS (LOS);0
1200203;PAULAR (EL);9
1200204;RASCAFRÍA;1495
1200401;GRIFOS (LOS);62
1210101;REDUEÑA;289
1220101;RIBATEJADA;647
1220201;PARAJE DEL ARZOBISPO;219
1220301;BARRANCOS (LOS);31
1230601;RIVAS DE JARAMA;0
1230701;RIVAS-VACIAMADRID;16031
1231001;CAÑADA REAL DE LA GALIANA;1769
1231101;PUENTE DE ARGANDA;0
1231801;PARTIJA-SANTA MÓNICA (LA);83779
1240101;ROBLEDILLO DE LA JARA;123
1250201;ROBLEDO DE CHAVELA;4697
1260101;ROBREGORDO;68
1270101;CHOPERA (LA);739
1270401;ROZAS DE MADRID (LAS);51817
1271001;DEHESA (LA);258
1271101;GARZO (EL);0
1271501;MATAS-PINAR-MONTE ROZAS (LAS);46324
1280101;ENTREPINOS;125
1280201;ROZAS DE PUERTO REAL;422
1290101;SAN AGUSTÍN DEL GUADALIX;13234
1290301;BARRANCO HONDO;0
1290401;IBERDROLA;0
1290701;RASO (EL);0
1290801;SIMA (LA);0
1290901;VALDELAGUA;509
1300201;SAN FERNANDO DE HENARES;38905
1300801;POLÍGONO DE SAN FERNANDO DE HENARES;11
1300901;QUINTANA;N.E.
1301001;SOTO DE ALDOVEA;0
1301301;CASTELLANAS (LAS);14
1310101;SANTA CRUZ DEL VALLE DE LOS CAÍDOS;14
1310102;VALLE DE LOS CAIDOS;18
1310201;SAN LORENZO DE EL ESCORIAL;16788
1310401;HOSPITAL;0
1310501;SANTA MARÍA DEL BUEN AIRE;0
1310901;CAMPING ESCORIAL;0
1311001;PIZARRA (LA);1916
1320401;AIMAYR;3
1320501;POBLADO DE ABAJO;36
1320502;POBLADO DE ARRIBA;122
1320701;SAN MARTÍN DE LA VEGA;19928
1320901;VEGA DEL PINGARRON;66
1321001;VALLEQUILLAS NORTE;343
1321002;VALLEQUILLAS SUR;58
1330101;SAN RAMÓN;157
1330201;COSTA DE MADRID;245
1330301;JAVACRUZ;200
1330401;SAN MARTÍN DE VALDEIGLESIAS;8375
1340101;CIUDALCAMPO;2660
1340201;FUENTE DEL FRESNO;2614
1340301;CLUB DE CAMPO;3012
1340401;RACE;131
1340501;SAN SEBASTIÁN DE LOS REYES;85812
1340801;GRANJILLA (LA);407
1350101;ESTACIÓN (LA);829
1350201;HERRERAS (LAS);11
1350301;HOYA (LA);20
1350501;NAVALESPINO;55
1350601;PARADILLA (LA);30
1350801;PIMPOLLAR (EL);159
1350901;ROBLEDONDO;241
1351001;SANTA MARÍA DE LA ALAMEDA;120
1351101;CEREDA (LA);0
1351301;MOLINO NUEVO;9
1351401;UMBRÍA DE LOS GALLEGOS;13
1360101;ESTACIÓN TRANSMISORA MARINA;32
1360201;SANTORCAZ;949
1370101;SANTOS DE LA HUMOSA (LOS);2793
1380101;SERNA DEL MONTE (LA);77
1400101;SERRANILLOS DEL VALLE;4543
1400102;URBANIZACIÓN LOS LLANOS;75
1400301;CARRASCAL (EL);0
1410101;CORTIJOS (LOS);439
1410402;MANANTIALES I (LOS);780
1410403;MANANTIALES II (LOS);309
1410601;SEVILLA LA NUEVA;8108
1410701;VALDELAGUA;43
1430101;SOMOSIERRA;98
1440101;SOTO DEL REAL;8324
1440201;RANCAJALES (LOS);939
1440301;FRESNEDA-DEHESA BOYAL-CAMPING LA FRESNEDA (LA);33
1440401;CIERRO DE SAN BARTOLOMÉ;3
1450401;TALAMANCA DE JARAMA;4186
1450501;CARRACALDERAS;17
1450601;DUNAS (LAS);16
1450801;PERDIGONES (LOS);24
1450802;TESORO (EL);0
1460101;TIELMES;2789
