Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;"082 Manzanares el Real";"201";"201";"820201";PONDEROSA DE LA SIERRA (LA);NUC;"576";576
28 Madrid;"083 Meco";"101";"101";"830101";ESTACIÓN Y LA VENTA (LA);NUC;"0";0
28 Madrid;"083 Meco";"201";"201";"830201";MECO;NUC;"15806";15806
28 Madrid;"084 Mejorada del Campo";"101";"101";"840101";MEJORADA DEL CAMPO;NUC;"21438";21438
28 Madrid;"084 Mejorada del Campo";"201";"201";"840201";URBANIZACIÓN LAS ACACIAS;NUC;"188";188
28 Madrid;"084 Mejorada del Campo";"501";"501";"840501";RAYA DE VELILLA (LA);NUC;"88";88
28 Madrid;"084 Mejorada del Campo";"601";"601";"840601";VALDECELADA;NUC;"0";0
28 Madrid;"085 Miraflores de la Sierra";"101";"101";"850101";ENDRINALES (LOS);NUC;"158";158
28 Madrid;"085 Miraflores de la Sierra";"201";"201";"850201";MIRAFLORES DE LA SIERRA;NUC;"6625";6625
28 Madrid;"085 Miraflores de la Sierra";"301";"301";"850301";PINAREJOS (LOS);NUC;"333";333
28 Madrid;"085 Miraflores de la Sierra";"401";"401";"850401";HUELGAS (LAS);NUC;"2";2
28 Madrid;"086 Molar, El";"101";"101";"860101";MOLAR (EL);NUC;"9435";9435
28 Madrid;"087 Molinos, Los";"102";"102";"870102";MOLINOS (LOS);NUC;"4812";4812
28 Madrid;"088 Montejo de la Sierra";"101";"101";"880101";MONTEJO DE LA SIERRA;NUC;"374";374
28 Madrid;"089 Moraleja de Enmedio";"101";"101";"890101";COLINAS (LAS);NUC;"313";313
28 Madrid;"089 Moraleja de Enmedio";"201";"201";"890201";MORALEJA DE ENMEDIO;NUC;"5175";5175
28 Madrid;"090 Moralzarzal";"101";"101";"900101";MORALZARZAL;NUC;"13710";13710
28 Madrid;"090 Moralzarzal";"301";"301";"900301";ARROYUELOS (LOS);NUC;"43";43
28 Madrid;"090 Moralzarzal";"501";"501";"900501";PRADERAS (LAS);NUC;"7";7
