Origen,Hospitales grupo 3,Hospitales grupo 2,Bomberos,Juzgados,Salud mental
0680701,38543.908184790664,7889.715516612689,45084.68985496237,9893.343644985061,32511.025535567827
0680801,30968.24244907564,3199.6029175418225,38633.99164515499,2463.2998870350834,26093.284245427738
0680703,37838.2151618472,7104.452249988356,44453.0918798574,9242.723173978171,31927.57592979575
0460201,34227.729353119874,3976.3808047945554,41341.566526417715,5507.186726254366,28640.60139236768
0460101,35914.460353444905,5116.745153903042,42755.45458052513,7639.305681814729,30366.586111696204
0460701,35694.66286771451,5711.334162928072,42529.92215718496,8602.267189271199,30620.06735142647
0460601,36703.428449978186,6581.198240910852,43391.49982550449,9439.294106694213,31492.98275798042
0720101,21783.086420783166,9722.858353130032,31583.696385336174,13673.199280906338,21535.385725199874
0720501,21725.654095858856,10073.830026301614,31518.32703615337,12944.64002770346,21613.259820402658
0720201,23704.7465945275,7324.963361800023,33040.92402842902,15841.450748347284,22267.921681165164
0720301,23677.46290467759,8774.883448958275,32941.39956010677,12247.232411542851,22805.43146102035
0540401,34699.584445258275,13565.460806899282,41704.18522257401,1681.7246189733905,28969.09415195562
0540402,34969.642329883594,12443.925782510363,41966.028817239705,541.9102052784568,29056.50568148773
0540601,30345.070214631764,6815.0705835940125,38196.8197290207,6833.412101422872,25805.530733405154
0540701,32183.219445065235,16453.719595489732,39638.2228518272,6613.766925812971,28207.550690762288
0540801,32406.99137653361,14853.95181548658,39815.88634403214,4959.820568930485,27944.83750600411
0540101,31254.516069043024,15270.641118225758,38897.05602463526,6302.5729390322595,27379.756891067333
1590101,45209.29791359778,29663.666425472857,50684.691461420305,17044.850392286982,40685.677133168145
1590201,43388.34219057762,28371.53976302072,49057.86994477933,15858.735051906478,39032.33815131873
0610401,20157.560543810927,14894.397615535856,30647.460561653585,12027.591728720507,20803.70253603076
0611501,22383.432033816043,11712.851097262792,32219.026014691943,8830.38856601597,21632.9467117057
0611601,21528.266386346044,10886.064376616801,31576.3789025131,8157.588917176052,21070.692058193174
0610801,25437.921979484152,8299.587396913217,34427.78254501848,5391.489187335687,23018.730967604868
0610501,26408.2191461737,8308.65209874337,35160.2961633188,5452.629489569193,23567.09999934515
0610701,23111.15953141944,8381.065013669457,32671.310502428652,5857.316436043174,21794.848440115755
0612101,25157.62218684392,6707.9982823669925,34176.5994284269,3959.592391020841,22797.03083574247
0612001,24262.176081687267,6996.077278629542,33494.719296075586,4598.444573374266,22376.2332062164
0610901,28640.618098742114,5751.622236598409,36836.75766132577,3189.595678465532,24705.655001521893
0611701,28233.100931101788,4451.160424886348,36487.17421196093,1627.155555685933,24417.692082365793
0610601,29784.256923226174,4390.971981171237,37710.26168327753,2369.946572348801,25353.152478802942
0610101,27312.809274243995,5407.459744361627,35796.66031036908,2506.6387069645475,23920.872007353515
1770401,15604.091960280732,18930.797016395773,27542.6532389242,20353.841933422143,18806.98696055721
1770101,17418.53758599939,18111.44979836018,28741.908870506206,18670.105572627344,19755.107986756742
1310101,39548.923085213355,13379.15849325982,46009.77638990714,4788.790300209861,32951.80854112851
1310102,39229.599680519765,12232.205910448445,45734.468492598266,5368.812597819218,32680.669752856335
1310201,36033.97245866656,13771.357846193348,42869.7802217796,1082.3019209096317,29823.17952178134
1311001,35219.54538052154,10566.010647151272,42218.33195288315,2346.425770463257,29248.678908959588
0950102,30024.130849330028,23001.60228497049,37703.64890956355,14649.286624240167,28642.625400715235
0950301,27770.79712318504,22907.26984144049,35915.467038357005,15785.763600880944,27203.475307388497
0280101,41612.42175255172,34420.77159592485,51891.0601061835,15152.797449998623,38050.85376287561
0280901,42153.18026919658,34767.764322221235,52451.70665025119,14472.431641461402,38592.28987799515
0281301,41516.66791370009,34044.0672973632,51932.41099439111,13803.202081323883,37964.27996540041
0281302,42251.227579556406,34648.53665436231,52634.02735974802,13477.838230894853,38698.353441835105
0340101,47372.833236977385,40437.37596263352,56900.458699409624,19384.26899482666,43779.012494588394
1620101,24256.193215756226,13800.661644551063,37695.495383257396,19070.521534683303,23019.805683120474
1620301,23581.195223409904,13403.045454024901,36942.5005214091,17272.4424510571,22616.394304892194
1620201,26462.08375706554,16043.259799988262,39571.985839983005,20285.805034509507,25170.859591645425
0690101,68857.17747074965,59157.45205288218,78789.07412586697,29094.244395103437,65433.59606262814
0820101,31187.79446008556,28712.83278374262,40761.307311325945,10505.836608083244,28251.12026132433
0820201,33959.48582805576,33498.02410809126,41636.917464223014,15694.410373480472,31635.12028458414
0570301,29340.620008718583,19201.126139607135,41905.284509125006,20912.816045818683,28202.946532258935
0570202,29726.28127433568,20034.899790032636,41961.2269768698,19516.673641778772,28890.62074681555
0570201,28953.72959660214,19144.02718742725,41354.24980887539,19348.170674792753,28062.692323317813
9020401,53966.87847270099,45003.26865279518,63963.38737012878,36651.48120772122,50460.211379614215
9020101,59053.55864404143,49959.254873863,68916.29342656984,41796.37732954813,55538.580907171534
9020201,57748.32835974173,48437.15926845234,67802.45862534127,41119.4706175315,54283.57438556464
9020301,53009.0341196078,44365.57178944254,62849.43416412755,35036.55374299795,49462.609409234145
0210401,44977.107021773685,35923.01560067903,55743.45911670924,7589.069568334977,41567.51354745189
0210201,47321.0417132209,37944.193821053435,58058.07265166956,8284.895423047183,43958.71216311603
0210101,46305.46186085511,36998.18168778661,57090.18248595153,7590.193223056041,42937.16189359978
0030101,50154.75003743851,44821.213146046066,58626.568000491854,28049.724400263134,46669.51738083491
0760101,53174.89474681858,46887.81247385592,61910.28218215077,26269.71339657138,49594.27501598177
0160101,53374.68339001927,43436.053928542286,64068.145037680246,13591.515584701423,50134.69922357616
0410101,18154.287397102664,8876.248395424776,32098.177535739444,12483.018061771754,17917.368773424638
0620301,48815.277908609845,41066.344053176625,58555.281790430075,16663.398913438316,45222.96403844391
0620601,51449.30979579909,43833.31181275767,60926.1389280076,19239.512999697854,47839.3645832478
0620501,50848.160930650134,43303.95246262499,60339.362541556395,19094.38807835485,47239.36078508398
0620201,51171.04875487563,43069.12409021669,60859.1666699282,16883.220113641546,47584.54819788846
0640201,59421.35840384611,51116.45972923987,68812.93310534075,23315.250408785065,55810.02056978379
0230201,31925.18587768576,31821.22017571327,39860.755504472334,14334.368211526269,29747.83123034216
0231101,31390.809069219307,31022.557276937845,39635.603344753676,13405.106007289925,29124.90779435037
0230501,31330.202672466636,30140.813084525947,40108.98202497509,12117.16670699814,28782.218223778655
0230601,34071.74809715745,33339.51947547497,41906.79318808354,15406.559268613673,31654.834430026374
0230301,35248.731602514425,34697.531775647614,42695.75781010287,16804.448024787835,32883.892268484225
0230101,32388.995843558965,31606.577907656138,40652.46941731871,13713.90535718779,29968.594641818352
1220201,29763.591413555463,19528.029848605478,42343.79154691952,21670.78187068069,28533.619976223184
1220101,32547.35132471365,22176.756728324915,44926.14179266907,24554.98070142918,31111.039731020755
1220301,27737.96731964276,17081.884196298357,40896.08035716817,23360.474333778635,26030.327924443354
1340801,12263.867701857189,1696.274039345935,28241.73958818213,4190.8347654063955,11579.208695443785
1340401,17337.05464528161,6796.107449125751,32250.214349268135,9144.82595582632,15925.939522791063
1340501,9680.416650522693,1288.1658733290394,26362.654694214845,1652.551962835034,9373.062149405398
1340301,16425.800990943848,5869.182494366736,31511.46983778471,8246.33675229406,15135.24549068198
1340101,16785.90489265151,7005.047090275439,31841.349124262037,8626.609220288243,15151.395179178426
1340201,14193.437433839646,3645.926346295947,29742.45988024077,6039.126498539129,13196.160213500336
0590101,22697.691405798174,12022.126376106762,36573.80966119436,20298.912704373677,21178.4152150709
0780101,63220.01488609731,54366.60409178796,72790.07204861396,25138.214620893683,59648.41907218009
1820401,57688.85124524583,49852.80845437162,66912.73957839265,23532.167425129905,54060.18965897876
1820501,58008.404545602476,50011.8993496197,67297.70337745038,23187.338141340937,54384.60768195795
1820301,58937.58645351776,50931.84493918532,68192.20307945057,23986.835427776554,55310.83188954403
1820201,58720.489610784076,50902.065468599954,67889.48428084438,24515.211385985087,55087.81804576859
1690301,34997.969164238064,26412.810136905857,46759.610118006945,8243.480940476547,31666.08410918942
1690101,35725.62419678728,27130.5774681349,47391.31881745121,7922.6949510043105,32378.700535701828
1690201,35411.4455827958,26368.086390773246,47299.280425134726,6154.078814867241,32166.137800435095
1530601,44306.63497823874,34610.804776330006,55504.169960835134,4543.434473243769,41078.899870263085
1530501,43082.92130266971,33005.81062234613,54597.55167627198,4265.8942166794595,40036.17167637348
1530201,42976.892704631944,32829.24135327112,54537.20899909693,4709.108272855007,39970.07086076947
1530401,44795.79193864003,34656.85143373598,56199.638112728135,6021.213944386213,41754.63604784974
1510102,40107.67392023067,30352.407754733365,51747.856024495275,279.242741335125,36972.58432768763
1510201,43370.99031035534,33738.57064832827,54621.376784969114,3747.725518629093,40135.54290335015
1080201,28338.470187760602,19760.133168987744,41094.598661141536,20799.84386203979,25239.540650635117
1080101,31581.313318528715,22705.56177083435,43936.135192080736,23919.049602543004,28411.71571013573
1080301,29998.77943087631,20768.41108565907,42699.21444171324,22159.92425254095,26986.588149553376
0060101,6897.228015183835,3799.150157391799,24415.064056535393,1824.418165839766,8073.26137183837
0090101,20336.294004958952,10087.978614940452,34278.65543684218,15956.917820405797,19474.958767799224
0090601,18791.9939438422,8132.267887306042,33286.96888371865,17785.603470756163,17603.763333333798
0090801,18973.629969056943,8643.614093240312,33609.350336683885,21334.44570255531,17245.86850753742
0091101,21139.896038422492,11287.885572709445,34731.095906980896,14872.904582783061,20490.97554014041
